emp_no,first_name,last_name,from_date,to_date,title
10002,Bezalel,Simmel,1996-08-03,9999-01-01,Staff
10010,Duangkaew,Piveteau,2000-06-26,9999-01-01,Engineer
10013,Eberhardt,Terkki,1985-10-20,9999-01-01,Senior Staff
10027,Divier,Reistad,1995-04-02,9999-01-01,Engineer
10037,Pradeep,Makrucki,1990-12-05,9999-01-01,Engineer
10061,Tse,Herber,1989-12-02,9999-01-01,Senior Staff
10065,Satosi,Awdeh,1998-05-24,9999-01-01,Engineer
10068,Charlene,Brattka,1987-08-07,9999-01-01,Senior Staff
10077,Mona,Azuma,1994-12-23,9999-01-01,Staff
10085,Kenroku,Malabarba,1994-04-09,9999-01-01,Senior Engineer
10086,Somnath,Foote,1992-02-19,9999-01-01,Senior Staff
10089,Sudharsan,Flasterstein,1989-01-10,9999-01-01,Senior Staff
10092,Valdiodio,Niizuma,1996-04-22,9999-01-01,Engineer
10093,Sailaja,Desikan,1997-06-08,9999-01-01,Staff
10095,Hilari,Morton,1994-03-10,9999-01-01,Senior Staff
10111,Hugo,Rosis,1988-12-19,9999-01-01,Engineer
10112,Yuichiro,Swick,1998-05-01,9999-01-01,Staff
10113,Jaewon,Syrzycki,1998-09-14,9999-01-01,Engineer
10121,Guoxiang,Ramsay,1989-05-03,9999-01-01,Engineer
10122,Ohad,Esposito,1998-08-06,9999-01-01,Technique Leader
10123,Hinrich,Randi,1993-01-15,9999-01-01,Assistant Engineer
10124,Geraldo,Marwedel,1999-06-06,9999-01-01,Engineer
10133,Giri,Isaak,1985-12-15,9999-01-01,Engineer
10139,Ewing,Foong,1998-03-15,9999-01-01,Engineer
10147,Kazuhito,Encarnacion,1987-12-18,9999-01-01,Senior Staff
10156,Sumali,Fargier,1993-05-14,9999-01-01,Engineer
10168,Dharmaraja,Stassinopoulos,1986-12-06,9999-01-01,Senior Staff
10173,Shrikanth,Mahmud,1992-03-21,9999-01-01,Senior Staff
10178,Valery,Litvinov,1994-03-21,9999-01-01,Staff
10181,Sibyl,Nooteboom,1988-06-22,9999-01-01,Senior Engineer
10190,Arve,Fairtlough,1986-06-23,9999-01-01,Engineer
10197,Kasidit,Krzyzanowski,1994-06-28,9999-01-01,Engineer
10211,Vishu,Strehl,1991-11-22,9999-01-01,Engineer
10213,Jackson,Kakkad,1994-10-06,9999-01-01,Staff
10214,Tadahiko,Ciolek,1988-02-29,9999-01-01,Senior Staff
10222,Tze,Nourani,1986-06-08,9999-01-01,Assistant Engineer
10223,Carrsten,Schmiedel,1998-04-01,9999-01-01,Engineer
10226,Xinglin,Plessier,1996-01-29,9999-01-01,Staff
10231,Shaowen,Desikan,1998-09-09,9999-01-01,Staff
10238,Mototsugu,Gire,1996-05-25,9999-01-01,Engineer
10242,Lunjin,Ozeri,1988-01-18,9999-01-01,Engineer
10246,Basem,Teitelbaum,1991-02-01,9999-01-01,Senior Engineer
10247,Heon,Riefers,1992-08-14,9999-01-01,Engineer
10270,Bedir,Hartvigsen,1991-09-26,9999-01-01,Senior Staff
10271,Sham,Eastman,1986-05-23,9999-01-01,Engineer
10273,Baocai,Lieblein,1985-11-06,9999-01-01,Senior Staff
10277,Isaac,Schwartzbauer,1985-06-16,9999-01-01,Senior Staff
10279,Barton,Jumpertz,1999-07-11,9999-01-01,Engineer
10280,Stabislas,Delgrange,1995-01-27,9999-01-01,Staff
10287,Marie,Pietracaprina,1997-09-05,9999-01-01,Senior Staff
10291,Dipayan,Seghrouchni,1987-03-30,9999-01-01,Senior Staff
10292,Yucel,Ghelli,1989-06-05,9999-01-01,Senior Staff
10296,Petter,Lorho,1989-09-16,9999-01-01,Senior Staff
10301,Lucien,Staudhammer,1988-05-23,9999-01-01,Senior Staff
10309,Prodip,Schusler,1997-05-02,9999-01-01,Assistant Engineer
10313,Subbu,Riexinger,1994-10-10,9999-01-01,Staff
10319,Mechthild,Miyakawa,1994-06-18,9999-01-01,Senior Staff
10335,Toshimori,Bahi,1999-11-07,9999-01-01,Senior Staff
10351,Tadahiko,Strehl,1995-05-01,9999-01-01,Staff
10357,Hausi,Sidhu,1994-04-04,9999-01-01,Engineer
10378,Takahira,Lichtner,1992-08-31,9999-01-01,Senior Staff
10381,Jiong,Parfitt,1991-12-04,9999-01-01,Assistant Engineer
10383,Leucio,Aumann,1991-06-19,9999-01-01,Engineer
10392,Jiann,Hainaut,1997-08-09,9999-01-01,Engineer
10408,Martijn,Kaiser,1998-10-07,9999-01-01,Staff
10417,Bingning,Bakhtari,1999-06-27,9999-01-01,Staff
10436,Yahiko,Lammel,1988-01-30,9999-01-01,Senior Staff
10448,Phule,Oxenboll,1992-03-12,9999-01-01,Senior Staff
10455,Sverrir,Streng,1995-02-19,9999-01-01,Senior Staff
10456,Stepehn,Hardjono,2000-01-06,9999-01-01,Staff
10457,Oddvar,Schlenzig,1999-10-23,9999-01-01,Senior Engineer
10464,Mang,Maginnis,1991-05-21,9999-01-01,Senior Staff
10465,Claudi,Shackel,1994-12-11,9999-01-01,Senior Staff
10469,Munehiko,Ananiadou,1992-12-26,9999-01-01,Senior Engineer
10471,Jouko,Yamaashi,1990-11-18,9999-01-01,Senior Engineer
10473,Przemyslawa,Oskamp,1997-09-23,9999-01-01,Engineer
10474,Kenton,Garnham,1987-02-21,9999-01-01,Engineer
10476,Kokou,Iisaka,1987-09-20,9999-01-01,Senior Staff
10491,Garnik,Narahari,1990-01-17,9999-01-01,Senior Staff
10493,Maris,Haraldson,1998-10-29,9999-01-01,Senior Staff
10498,Valter,Cappelletti,1994-03-09,9999-01-01,Engineer
10501,Susuma,Larfeldt,1988-09-08,9999-01-01,Engineer
10507,Kasidit,Belinskaya,1990-09-30,9999-01-01,Senior Staff
10508,Kotesh,Liedekerke,1991-05-01,9999-01-01,Engineer
10511,Khoa,Marrevee,1992-01-27,9999-01-01,Assistant Engineer
10518,Marin,Lanphier,1993-09-03,9999-01-01,Technique Leader
10520,Jenwei,Ecklund,1996-09-05,9999-01-01,Senior Engineer
10526,Kwangho,Theuretzbacher,1988-02-27,9999-01-01,Engineer
10527,Tetsushi,Barvinok,1996-01-25,9999-01-01,Technique Leader
10528,Koichi,Lakshmanan,1993-10-28,9999-01-01,Senior Engineer
10533,Mohamadou,Smailagic,1990-08-17,9999-01-01,Senior Staff
10536,Yechiam,Sambasivam,1988-10-07,9999-01-01,Senior Staff
10537,Stella,Benzmuller,1996-09-25,9999-01-01,Senior Staff
10543,Lein,Lichtman,1998-11-24,9999-01-01,Staff
10544,Ishfaq,Krzyzanowski,1995-04-29,9999-01-01,Senior Staff
10545,Hauke,dAstous,1990-06-30,9999-01-01,Engineer
10551,Jeong,Rijsenbrij,1988-08-06,9999-01-01,Engineer
10553,Rajmohan,Wallrath,1990-07-22,9999-01-01,Engineer
10556,JoAnna,Taubman,1992-04-15,9999-01-01,Senior Staff
10558,Hisao,Famili,1992-04-22,9999-01-01,Senior Engineer
10562,Shuky,Pearson,1997-07-24,9999-01-01,Engineer
10569,Sreenivas,Bashian,1987-03-13,9999-01-01,Senior Staff
10571,Fun,Varman,1985-02-24,9999-01-01,Assistant Engineer
10573,Tetsushi,Speel,1999-08-20,9999-01-01,Staff
10585,Sajjad,Willoner,1994-08-24,9999-01-01,Senior Engineer
10587,Behnaam,Srimani,1991-11-20,9999-01-01,Engineer
10590,Yongqiao,Kalloufi,1986-04-09,9999-01-01,Senior Staff
10592,Almudena,Alvarado,1993-09-27,9999-01-01,Staff
10595,Giri,Undy,1989-11-24,9999-01-01,Senior Engineer
10600,Emran,Rettelbach,1992-04-27,9999-01-01,Senior Staff
10606,Toshiki,Marakhovsky,1987-05-02,9999-01-01,Engineer
10607,Rosalyn,Hambrick,1996-01-13,9999-01-01,Engineer
10611,Karsten,Blokdijk,1989-09-16,9999-01-01,Senior Engineer
10618,Ranga,Yeung,1994-10-07,9999-01-01,Engineer
10621,Hinrich,Siepmann,1992-02-10,9999-01-01,Engineer
10627,Shigeu,Itzfeldt,1995-03-13,9999-01-01,Senior Staff
10648,Marlo,Ratnaker,1988-02-16,9999-01-01,Engineer
10656,Sanjay,Litzkow,1988-06-21,9999-01-01,Engineer
10663,Teunis,Noriega,1999-02-12,9999-01-01,Technique Leader
10664,Xumin,Peck,1989-12-24,9999-01-01,Engineer
10666,Zhonghua,Reeker,1989-05-20,9999-01-01,Senior Staff
10670,Shunichi,McAffer,1988-03-23,9999-01-01,Senior Staff
10677,Alejandra,Perng,1999-10-13,9999-01-01,Engineer
10681,Florina,Garnier,2002-01-08,9999-01-01,Staff
10686,Avishai,Azadmanesh,1987-05-17,9999-01-01,Senior Engineer
10688,Xiaopeng,Lanphier,1986-04-13,9999-01-01,Senior Staff
10690,Matt,Jumpertz,1995-10-04,9999-01-01,Engineer
10695,Zorica,Acton,1998-05-19,9999-01-01,Engineer
10699,Hatim,Deverell,1985-11-17,9999-01-01,Engineer
10705,Hironobu,Wynblatt,1990-07-18,9999-01-01,Senior Staff
10710,Sorina,Kermarrec,1995-07-09,9999-01-01,Senior Staff
10711,Arvind,DuBourdieux,1991-06-21,9999-01-01,Engineer
10716,Aiman,Constantine,1987-08-12,9999-01-01,Engineer
10721,Bernd,Redmiles,1999-07-15,9999-01-01,Staff
10723,Eckart,Harnett,1997-07-14,9999-01-01,Technique Leader
10732,Morris,Andreotta,1994-12-21,9999-01-01,Senior Engineer
10733,Sangeeta,Rodham,1996-02-20,9999-01-01,Senior Staff
10735,Morrie,Gewali,1985-10-29,9999-01-01,Senior Staff
10736,Gurbir,Hellwagner,1991-09-26,9999-01-01,Senior Engineer
10738,Rosita,Oppitz,1992-01-06,9999-01-01,Technique Leader
10743,Kiyomitsu,Peltason,1999-11-05,9999-01-01,Staff
10748,Yuchang,Francisci,1992-04-04,9999-01-01,Senior Staff
10752,Byong,Conde,1993-05-28,9999-01-01,Senior Engineer
10758,Fumiyo,Boyle,1999-07-01,9999-01-01,Engineer
10760,Phillip,Dratva,1997-08-22,9999-01-01,Senior Staff
10762,Lech,Himler,1992-01-21,9999-01-01,Senior Staff
10763,Giap,Bolsens,1987-02-23,9999-01-01,Engineer
10766,Nathalie,Standera,1999-09-18,9999-01-01,Staff
10769,Vishv,Bouloucos,1991-08-30,9999-01-01,Technique Leader
10783,Moty,Kenevan,1994-05-15,9999-01-01,Senior Staff
10785,Keiichiro,Marzano,1994-11-11,9999-01-01,Engineer
10786,Patricia,dAstous,2001-12-10,9999-01-01,Senior Engineer
10788,Frazer,Ullian,1998-05-29,9999-01-01,Staff
10789,Aruna,Journel,1998-01-26,9999-01-01,Staff
10790,Yurij,Schonegge,1999-03-02,9999-01-01,Engineer
10794,Teunis,Berztiss,1994-05-24,9999-01-01,Senior Staff
10804,Terresa,Benantar,1997-06-09,9999-01-01,Staff
10807,Munehiro,Zallocco,1999-10-19,9999-01-01,Senior Staff
10809,Shim,Feldhoffer,1988-02-25,9999-01-01,Engineer
